customer_id,first_name,last_name,email,phone,loyalty_member_flag
CUS000170,First170,Last170,customer170@example.com,555-1170,False
CUS000171,First171,Last171,customer171@example.com,555-1171,True
CUS000172,First172,Last172,customer172@example.com,555-1172,False
CUS000173,First173,Last173,customer173@example.com,555-1173,False
CUS000174,First174,Last174,customer174@example.com,555-1174,True
CUS000175,First175,Last175,customer175@example.com,555-1175,True
CUS000176,First176,Last176,customer176@example.com,555-1176,True
CUS000177,First177,Last177,customer177@example.com,555-1177,False
CUS000178,First178,Last178,customer178@example.com,555-1178,False
CUS000179,First179,Last179,customer179@example.com,555-1179,False
CUS000180,First180,Last180,customer180@example.com,555-1180,False
CUS000181,First181,Last181,customer181@example.com,555-1181,False
CUS000182,First182,Last182,customer182@example.com,555-1182,True
CUS000183,First183,Last183,customer183@example.com,555-1183,True
CUS000184,First184,Last184,customer184@example.com,555-1184,True
CUS000185,First185,Last185,customer185@example.com,555-1185,False
CUS000186,First186,Last186,customer186@example.com,555-1186,False
CUS000187,First187,Last187,customer187@example.com,555-1187,True
CUS000188,First188,Last188,customer188@example.com,555-1188,True
CUS000189,First189,Last189,customer189@example.com,555-1189,True
CUS000190,First190,Last190,customer190@example.com,555-1190,True
CUS000191,First191,Last191,customer191@example.com,555-1191,False
CUS000192,First192,Last192,customer192@example.com,555-1192,True
CUS000193,First193,Last193,customer193@example.com,555-1193,False
CUS000194,First194,Last194,customer194@example.com,555-1194,True
CUS000195,First195,Last195,customer195@example.com,555-1195,False
CUS000196,First196,Last196,customer196@example.com,555-1196,False
CUS000197,First197,Last197,customer197@example.com,555-1197,True
CUS000198,First198,Last198,customer198@example.com,555-1198,True
CUS000199,First199,Last199,customer199@example.com,555-1199,False
CUS000200,First200,Last200,customer200@example.com,555-1200,True
